#
%Time%Gated%Ungated
@ ns@ @ 
13400 49 12
13410 45 16
13420 42 12
13430 56 14
13440 48 20
13450 45 20
13460 41 15
13470 52 6
13480 62 10
13490 58 12
13500 50 11
13510 43 10
13520 41 14
13530 51 13
13540 38 16
13550 39 19
13560 47 12
13570 63 12
13580 33 10
13590 41 15
13600 40 12
13610 38 7
13620 41 14
13630 46 16
13640 46 8
13650 47 15
13660 39 12
13670 48 16
13680 47 11
13690 37 12
13700 34 6
13710 42 15
13720 27 17
13730 40 17
13740 39 14
13750 41 12
13760 36 9
13770 30 11
13780 50 7
13790 32 7
13800 40 10
13810 37 7
13820 32 18
13830 43 16
13840 32 9
13850 45 6
13860 45 15
13870 40 10
13880 47 5
13890 44 10
13900 34 13
13910 50 6
13920 24 5
13930 50 14
13940 39 7
13950 38 8
13960 41 12
13970 43 13
13980 48 14
13990 39 8
14000 39 14
14010 36 10
14020 36 16
14030 43 11
14040 44 10
14050 36 9
14060 36 5
14070 32 13
14080 28 14
14090 40 5
14100 30 7
14110 36 10
14120 41 10
14130 24 4
14140 32 6
14150 43 13
14160 35 14
14170 44 9
14180 34 8
14190 33 9
14200 39 5
14210 34 12
14220 35 11
14230 28 12
14240 30 6
14250 36 15
14260 27 10
14270 39 7
14280 30 12
14290 36 14
14300 35 7
14310 34 16
14320 38 7
14330 35 19
14340 25 15
14350 31 5
14360 31 9
14370 25 14
14380 19 7
14390 28 6
14400 34 6
14410 29 5
14420 21 12
14430 37 9
14440 23 8
14450 33 9
14460 26 12
14470 33 8
14480 40 6
14490 37 10
14500 36 13
14510 25 11
14520 35 9
14530 41 7
14540 26 11
14550 27 5
14560 40 13
14570 36 4
14580 29 10
14590 32 7
14600 29 11
14610 42 6
14620 38 2
14630 30 10
14640 22 10
14650 28 8
14660 28 8
14670 20 12
14680 36 15
14690 26 9
14700 20 10
14710 27 7
14720 28 7
14730 22 9
14740 31 5
14750 32 7
14760 21 4
14770 35 10
14780 35 6
14790 26 7
14800 24 6
14810 30 7
14820 27 5
14830 25 7
14840 27 7
14850 29 3
14860 30 9
14870 26 12
14880 27 12
14890 25 11
14900 24 7
14910 26 11
14920 31 8
14930 25 10
14940 23 8
14950 38 7
14960 32 6
14970 22 2
14980 27 7
14990 32 9
15000 21 10
15010 26 3
15020 33 6
15030 27 4
15040 17 9
